Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Weight in gm,Species,Season
42,4.5,2.3,1.3,0.3,37,Iris-setosa,summer
43,4.4,3.2,1.3,0.2,32,Iris-setosa,fall
44,5,3.5,1.6,0.6,25,Iris-setosa,winter
45,5.1,3.8,1.9,0.4,19,Iris-setosa,spring
46,4.8,3,1.4,0.3,6,Iris-setosa,summer
47,5.1,3.8,1.6,0.2,NA,Iris-setosa,fall
48,4.6,3.2,1.4,0.2,40,Iris-setosa,winter
49,5.3,3.7,1.5,0.2,24,Iris-setosa,spring
50,5,3.3,1.4,0.2,37,Iris-setosa,summer
51,7,3.2,4.7,1.4,42,Iris-versicolor,fall
52,6.4,3.2,4.5,1.5,19,Iris-versicolor,winter
53,6.9,3.1,4.9,1.5,10,Iris-versicolor,spring
54,5.5,2.3,4,1.3,29,Iris-versicolor,summer
55,6.5,2.8,4.6,1.5,6,Iris-versicolor,fall
56,5.7,2.8,4.5,1.3,NA,Iris-versicolor,winter
57,6.3,3.3,4.7,1.6,19,Iris-versicolor,spring
58,4.9,2.4,3.3,1,36,Iris-versicolor,summer
59,6.6,2.9,4.6,1.3,16,Iris-versicolor,fall
60,5.2,2.7,3.9,1.4,32,Iris-versicolor,winter
61,5,2,3.5,1,12,Iris-versicolor,spring
62,5.9,3,4.2,1.5,25,Iris-versicolor,summer
63,6,2.2,4,1,NA,Iris-versicolor,fall
64,6.1,2.9,4.7,1.4,16,Iris-versicolor,winter
65,5.6,2.9,3.6,1.3,29,Iris-versicolor,spring
66,6.7,3.1,4.4,1.4,29,Iris-versicolor,summer
67,5.6,3,4.5,1.5,36,Iris-versicolor,fall
68,5.8,2.7,4.1,1,31,Iris-versicolor,winter
69,6.2,2.2,4.5,1.5,32,Iris-versicolor,spring
70,5.6,2.5,3.9,1.1,23,Iris-versicolor,summer
71,5.9,3.2,4.8,1.8,12,Iris-versicolor,fall
72,6.1,2.8,4,1.3,14,Iris-versicolor,winter
73,6.3,2.5,4.9,1.5,16,Iris-versicolor,spring
74,6.1,2.8,4.7,1.2,14,Iris-versicolor,summer
75,6.4,2.9,4.3,1.3,NA,Iris-versicolor,fall
76,6.6,3,4.4,1.4,15,Iris-versicolor,winter
77,6.8,2.8,4.8,1.4,38,Iris-versicolor,spring
78,6.7,3,5,1.7,24,Iris-versicolor,summer
79,6,2.9,4.5,1.5,7,Iris-versicolor,fall
80,5.7,2.6,3.5,1,35,Iris-versicolor,winter
81,5.5,2.4,3.8,1.1,5,Iris-versicolor,spring
82,5.5,2.4,3.7,1,12,Iris-versicolor,summer
83,5.8,2.7,3.9,1.2,34,Iris-versicolor,fall
84,6,2.7,5.1,1.6,7,Iris-versicolor,winter
85,5.4,3,4.5,1.5,NA,Iris-versicolor,spring
86,6,3.4,4.5,1.6,21,Iris-versicolor,summer
87,6.7,3.1,4.7,1.5,16,Iris-versicolor,fall
88,6.3,2.3,4.4,1.3,40,Iris-versicolor,winter
89,5.6,3,4.1,1.3,5,Iris-versicolor,spring
90,5.5,2.5,4,1.3,15,Iris-versicolor,summer
91,5.5,2.6,4.4,1.2,20,Iris-versicolor,fall
92,6.1,3,4.6,1.4,NA,Iris-versicolor,winter
93,5.8,2.6,4,1.2,29,Iris-versicolor,spring
94,5,2.3,3.3,1,33,Iris-versicolor,summer
95,5.6,2.7,4.2,1.3,39,Iris-versicolor,fall
96,5.7,3,4.2,1.2,18,Iris-versicolor,winter
97,5.7,2.9,4.2,1.3,14,Iris-versicolor,spring
98,6.2,2.9,4.3,1.3,23,Iris-versicolor,summer
99,5.1,2.5,3,1.1,27,Iris-versicolor,fall
100,5.7,2.8,4.1,1.3,24,Iris-versicolor,winter
101,6.3,3.3,6,2.5,18,Iris-virginica,spring
102,5.8,2.7,5.1,1.9,NA,Iris-virginica,summer
103,7.1,3,5.9,2.1,10,Iris-virginica,fall
104,6.3,2.9,5.6,1.8,19,Iris-virginica,winter
105,6.5,3,5.8,2.2,37,Iris-virginica,spring
106,7.6,3,6.6,2.1,8,Iris-virginica,summer
107,4.9,2.5,4.5,1.7,29,Iris-virginica,fall
108,7.3,2.9,6.3,1.8,10,Iris-virginica,winter
109,6.7,2.5,5.8,1.8,42,Iris-virginica,spring
110,7.2,3.6,6.1,2.5,42,Iris-virginica,summer
111,6.5,3.2,5.1,2,40,Iris-virginica,fall
112,6.4,2.7,5.3,1.9,17,Iris-virginica,winter
113,6.8,3,5.5,2.1,17,Iris-virginica,spring
114,5.7,2.5,5,2,NA,Iris-virginica,summer
115,5.8,2.8,5.1,2.4,40,Iris-virginica,fall
116,6.4,3.2,5.3,2.3,NA,Iris-virginica,winter
117,6.5,3,5.5,1.8,24,Iris-virginica,spring
118,7.7,3.8,6.7,2.2,18,Iris-virginica,summer
119,7.7,2.6,6.9,2.3,32,Iris-virginica,fall
120,6,2.2,5,1.5,11,Iris-virginica,winter
121,6.9,3.2,5.7,2.3,14,Iris-virginica,spring
122,5.6,2.8,4.9,2,40,Iris-virginica,summer
123,7.7,2.8,6.7,2,37,Iris-virginica,fall
124,6.3,2.7,4.9,1.8,21,Iris-virginica,winter
125,6.7,3.3,5.7,2.1,22,Iris-virginica,spring
126,7.2,3.2,6,1.8,12,Iris-virginica,summer
127,6.2,2.8,4.8,1.8,38,Iris-virginica,fall
128,6.1,3,4.9,1.8,16,Iris-virginica,winter
129,6.4,2.8,5.6,2.1,32,Iris-virginica,spring
130,7.2,3,5.8,1.6,36,Iris-virginica,summer
131,7.4,2.8,6.1,1.9,20,Iris-virginica,fall
132,7.9,3.8,6.4,2,14,Iris-virginica,winter
133,6.4,2.8,5.6,2.2,33,Iris-virginica,spring
134,6.3,2.8,5.1,1.5,NA,Iris-virginica,summer
135,6.1,2.6,5.6,1.4,38,Iris-virginica,fall
136,7.7,3,6.1,2.3,31,Iris-virginica,winter
137,6.3,3.4,5.6,2.4,19,Iris-virginica,spring
138,6.4,3.1,5.5,1.8,40,Iris-virginica,summer
139,6,3,4.8,1.8,11,Iris-virginica,fall
140,6.9,3.1,5.4,2.1,15,Iris-virginica,winter
141,6.7,3.1,5.6,2.4,28,Iris-virginica,spring
142,6.9,3.1,5.1,2.3,12,Iris-virginica,summer
143,5.8,2.7,5.1,1.9,24,Iris-virginica,fall
144,6.8,3.2,5.9,2.3,13,Iris-virginica,winter
145,6.7,3.3,5.7,2.5,9,Iris-virginica,spring
146,6.7,3,5.2,2.3,11,Iris-virginica,summer
147,6.3,2.5,5,1.9,20,Iris-virginica,fall
148,6.5,3,5.2,2,18,Iris-virginica,winter
149,6.2,3.4,5.4,2.3,12,Iris-virginica,spring
150,5.9,3,5.1,1.8,11,Iris-virginica,summer
